"name","type","description"
"feature_40","float","tBodyAcc-correlation()-Y,Z"
"feature_41","float","tGravityAcc-mean()-X"
"feature_42","float","tGravityAcc-mean()-Y"
"feature_43","float","tGravityAcc-mean()-Z"
"feature_44","float","tGravityAcc-std()-X"
"feature_45","float","tGravityAcc-std()-Y"
"feature_46","float","tGravityAcc-std()-Z"
"feature_47","float","tGravityAcc-mad()-X"
"feature_48","float","tGravityAcc-mad()-Y"
"feature_49","float","tGravityAcc-mad()-Z"
"feature_50","float","tGravityAcc-max()-X"
"feature_51","float","tGravityAcc-max()-Y"
"feature_52","float","tGravityAcc-max()-Z"
"feature_53","float","tGravityAcc-min()-X"
"feature_54","float","tGravityAcc-min()-Y"
"feature_55","float","tGravityAcc-min()-Z"
"feature_56","float","tGravityAcc-sma()"
"feature_57","float","tGravityAcc-energy()-X"
"feature_58","float","tGravityAcc-energy()-Y"
"feature_59","float","tGravityAcc-energy()-Z"
"feature_60","float","tGravityAcc-iqr()-X"
"feature_61","float","tGravityAcc-iqr()-Y"
"feature_62","float","tGravityAcc-iqr()-Z"
"feature_63","float","tGravityAcc-entropy()-X"
"feature_64","float","tGravityAcc-entropy()-Y"
"feature_65","float","tGravityAcc-entropy()-Z"
"feature_66","float","tGravityAcc-arCoeff()-X,1"
"feature_67","float","tGravityAcc-arCoeff()-X,2"
"feature_68","float","tGravityAcc-arCoeff()-X,3"
"feature_69","float","tGravityAcc-arCoeff()-X,4"
"feature_70","float","tGravityAcc-arCoeff()-Y,1"
"feature_71","float","tGravityAcc-arCoeff()-Y,2"
"feature_72","float","tGravityAcc-arCoeff()-Y,3"
"feature_73","float","tGravityAcc-arCoeff()-Y,4"
"feature_74","float","tGravityAcc-arCoeff()-Z,1"
"feature_75","float","tGravityAcc-arCoeff()-Z,2"
"feature_76","float","tGravityAcc-arCoeff()-Z,3"
"feature_77","float","tGravityAcc-arCoeff()-Z,4"
"feature_78","float","tGravityAcc-correlation()-X,Y"
"feature_79","float","tGravityAcc-correlation()-X,Z"
"feature_80","float","tGravityAcc-correlation()-Y,Z"
"feature_81","float","tBodyAccJerk-mean()-X"
"feature_82","float","tBodyAccJerk-mean()-Y"
"feature_83","float","tBodyAccJerk-mean()-Z"
"feature_84","float","tBodyAccJerk-std()-X"
"feature_85","float","tBodyAccJerk-std()-Y"
"feature_86","float","tBodyAccJerk-std()-Z"
"feature_87","float","tBodyAccJerk-mad()-X"
"feature_88","float","tBodyAccJerk-mad()-Y"
"feature_89","float","tBodyAccJerk-mad()-Z"
"feature_90","float","tBodyAccJerk-max()-X"
"feature_91","float","tBodyAccJerk-max()-Y"
"feature_92","float","tBodyAccJerk-max()-Z"
"feature_93","float","tBodyAccJerk-min()-X"
"feature_94","float","tBodyAccJerk-min()-Y"
"feature_95","float","tBodyAccJerk-min()-Z"
"feature_96","float","tBodyAccJerk-sma()"
"feature_97","float","tBodyAccJerk-energy()-X"
"feature_98","float","tBodyAccJerk-energy()-Y"
"feature_99","float","tBodyAccJerk-energy()-Z"
"feature_100","float","tBodyAccJerk-iqr()-X"
"feature_101","float","tBodyAccJerk-iqr()-Y"
"feature_102","float","tBodyAccJerk-iqr()-Z"
"feature_103","float","tBodyAccJerk-entropy()-X"
"feature_104","float","tBodyAccJerk-entropy()-Y"
"feature_105","float","tBodyAccJerk-entropy()-Z"
"feature_106","float","tBodyAccJerk-arCoeff()-X,1"
"feature_107","float","tBodyAccJerk-arCoeff()-X,2"
"feature_108","float","tBodyAccJerk-arCoeff()-X,3"
"feature_109","float","tBodyAccJerk-arCoeff()-X,4"
"feature_110","float","tBodyAccJerk-arCoeff()-Y,1"
"feature_111","float","tBodyAccJerk-arCoeff()-Y,2"
"feature_112","float","tBodyAccJerk-arCoeff()-Y,3"
"feature_113","float","tBodyAccJerk-arCoeff()-Y,4"
"feature_114","float","tBodyAccJerk-arCoeff()-Z,1"
"feature_115","float","tBodyAccJerk-arCoeff()-Z,2"
"feature_116","float","tBodyAccJerk-arCoeff()-Z,3"
"feature_117","float","tBodyAccJerk-arCoeff()-Z,4"
"feature_118","float","tBodyAccJerk-correlation()-X,Y"
"feature_119","float","tBodyAccJerk-correlation()-X,Z"
"feature_120","float","tBodyAccJerk-correlation()-Y,Z"
"feature_121","float","tBodyGyro-mean()-X"
"feature_122","float","tBodyGyro-mean()-Y"
"feature_123","float","tBodyGyro-mean()-Z"
"feature_124","float","tBodyGyro-std()-X"
"feature_125","float","tBodyGyro-std()-Y"
"feature_126","float","tBodyGyro-std()-Z"
"feature_127","float","tBodyGyro-mad()-X"
"feature_128","float","tBodyGyro-mad()-Y"
"feature_129","float","tBodyGyro-mad()-Z"
"feature_130","float","tBodyGyro-max()-X"
"feature_131","float","tBodyGyro-max()-Y"
"feature_132","float","tBodyGyro-max()-Z"
"feature_133","float","tBodyGyro-min()-X"
"feature_134","float","tBodyGyro-min()-Y"
"feature_135","float","tBodyGyro-min()-Z"
"feature_136","float","tBodyGyro-sma()"
"feature_137","float","tBodyGyro-energy()-X"
"feature_138","float","tBodyGyro-energy()-Y"
"feature_139","float","tBodyGyro-energy()-Z"
"feature_140","float","tBodyGyro-iqr()-X"
"feature_141","float","tBodyGyro-iqr()-Y"
"feature_142","float","tBodyGyro-iqr()-Z"
"feature_143","float","tBodyGyro-entropy()-X"
"feature_144","float","tBodyGyro-entropy()-Y"
"feature_145","float","tBodyGyro-entropy()-Z"
"feature_146","float","tBodyGyro-arCoeff()-X,1"
"feature_147","float","tBodyGyro-arCoeff()-X,2"
"feature_148","float","tBodyGyro-arCoeff()-X,3"
"feature_149","float","tBodyGyro-arCoeff()-X,4"
"feature_150","float","tBodyGyro-arCoeff()-Y,1"
"feature_151","float","tBodyGyro-arCoeff()-Y,2"
"feature_152","float","tBodyGyro-arCoeff()-Y,3"
"feature_153","float","tBodyGyro-arCoeff()-Y,4"
"feature_154","float","tBodyGyro-arCoeff()-Z,1"
"feature_155","float","tBodyGyro-arCoeff()-Z,2"
"feature_156","float","tBodyGyro-arCoeff()-Z,3"
"feature_157","float","tBodyGyro-arCoeff()-Z,4"
"feature_158","float","tBodyGyro-correlation()-X,Y"
"feature_159","float","tBodyGyro-correlation()-X,Z"
"feature_160","float","tBodyGyro-correlation()-Y,Z"
"feature_161","float","tBodyGyroJerk-mean()-X"
"feature_162","float","tBodyGyroJerk-mean()-Y"
"feature_163","float","tBodyGyroJerk-mean()-Z"
"feature_164","float","tBodyGyroJerk-std()-X"
"feature_165","float","tBodyGyroJerk-std()-Y"
"feature_166","float","tBodyGyroJerk-std()-Z"
"feature_167","float","tBodyGyroJerk-mad()-X"
"feature_168","float","tBodyGyroJerk-mad()-Y"
"feature_169","float","tBodyGyroJerk-mad()-Z"
"feature_170","float","tBodyGyroJerk-max()-X"
"feature_171","float","tBodyGyroJerk-max()-Y"
"feature_172","float","tBodyGyroJerk-max()-Z"
"feature_173","float","tBodyGyroJerk-min()-X"
"feature_174","float","tBodyGyroJerk-min()-Y"
"feature_175","float","tBodyGyroJerk-min()-Z"
"feature_176","float","tBodyGyroJerk-sma()"
"feature_177","float","tBodyGyroJerk-energy()-X"
"feature_178","float","tBodyGyroJerk-energy()-Y"
"feature_179","float","tBodyGyroJerk-energy()-Z"
"feature_180","float","tBodyGyroJerk-iqr()-X"
"feature_181","float","tBodyGyroJerk-iqr()-Y"
"feature_182","float","tBodyGyroJerk-iqr()-Z"
"feature_183","float","tBodyGyroJerk-entropy()-X"
"feature_184","float","tBodyGyroJerk-entropy()-Y"
"feature_185","float","tBodyGyroJerk-entropy()-Z"
"feature_186","float","tBodyGyroJerk-arCoeff()-X,1"
"feature_187","float","tBodyGyroJerk-arCoeff()-X,2"
"feature_188","float","tBodyGyroJerk-arCoeff()-X,3"
"feature_189","float","tBodyGyroJerk-arCoeff()-X,4"
"feature_190","float","tBodyGyroJerk-arCoeff()-Y,1"
"feature_191","float","tBodyGyroJerk-arCoeff()-Y,2"
"feature_192","float","tBodyGyroJerk-arCoeff()-Y,3"
"feature_193","float","tBodyGyroJerk-arCoeff()-Y,4"
"feature_194","float","tBodyGyroJerk-arCoeff()-Z,1"
"feature_195","float","tBodyGyroJerk-arCoeff()-Z,2"
"feature_196","float","tBodyGyroJerk-arCoeff()-Z,3"
"feature_197","float","tBodyGyroJerk-arCoeff()-Z,4"
"feature_198","float","tBodyGyroJerk-correlation()-X,Y"
"feature_199","float","tBodyGyroJerk-correlation()-X,Z"
"feature_200","float","tBodyGyroJerk-correlation()-Y,Z"
"feature_201","float","tBodyAccMag-mean()"
"feature_202","float","tBodyAccMag-std()"
"feature_203","float","tBodyAccMag-mad()"
"feature_204","float","tBodyAccMag-max()"
"feature_205","float","tBodyAccMag-min()"
"feature_206","float","tBodyAccMag-sma()"
"feature_207","float","tBodyAccMag-energy()"
"feature_208","float","tBodyAccMag-iqr()"
"feature_209","float","tBodyAccMag-entropy()"
"feature_210","float","tBodyAccMag-arCoeff()1"
"feature_211","float","tBodyAccMag-arCoeff()2"
"feature_212","float","tBodyAccMag-arCoeff()3"
"feature_213","float","tBodyAccMag-arCoeff()4"
"feature_214","float","tGravityAccMag-mean()"
"feature_215","float","tGravityAccMag-std()"
"feature_216","float","tGravityAccMag-mad()"
"feature_217","float","tGravityAccMag-max()"
"feature_218","float","tGravityAccMag-min()"
"feature_219","float","tGravityAccMag-sma()"
"feature_220","float","tGravityAccMag-energy()"
"feature_221","float","tGravityAccMag-iqr()"
"feature_222","float","tGravityAccMag-entropy()"
"feature_223","float","tGravityAccMag-arCoeff()1"
"feature_224","float","tGravityAccMag-arCoeff()2"
"feature_225","float","tGravityAccMag-arCoeff()3"
"feature_226","float","tGravityAccMag-arCoeff()4"
"feature_227","float","tBodyAccJerkMag-mean()"
"feature_228","float","tBodyAccJerkMag-std()"
"feature_229","float","tBodyAccJerkMag-mad()"
"feature_230","float","tBodyAccJerkMag-max()"
"feature_231","float","tBodyAccJerkMag-min()"
"feature_232","float","tBodyAccJerkMag-sma()"
"feature_233","float","tBodyAccJerkMag-energy()"
"feature_234","float","tBodyAccJerkMag-iqr()"
"feature_235","float","tBodyAccJerkMag-entropy()"
"feature_236","float","tBodyAccJerkMag-arCoeff()1"
"feature_237","float","tBodyAccJerkMag-arCoeff()2"
"feature_238","float","tBodyAccJerkMag-arCoeff()3"
"feature_239","float","tBodyAccJerkMag-arCoeff()4"
"feature_240","float","tBodyGyroMag-mean()"
"feature_241","float","tBodyGyroMag-std()"
"feature_242","float","tBodyGyroMag-mad()"
"feature_243","float","tBodyGyroMag-max()"
"feature_244","float","tBodyGyroMag-min()"
"feature_245","float","tBodyGyroMag-sma()"
"feature_246","float","tBodyGyroMag-energy()"
"feature_247","float","tBodyGyroMag-iqr()"
"feature_248","float","tBodyGyroMag-entropy()"
"feature_249","float","tBodyGyroMag-arCoeff()1"
"feature_250","float","tBodyGyroMag-arCoeff()2"
"feature_251","float","tBodyGyroMag-arCoeff()3"
"feature_252","float","tBodyGyroMag-arCoeff()4"
"feature_253","float","tBodyGyroJerkMag-mean()"
"feature_254","float","tBodyGyroJerkMag-std()"
"feature_255","float","tBodyGyroJerkMag-mad()"
"feature_256","float","tBodyGyroJerkMag-max()"
"feature_257","float","tBodyGyroJerkMag-min()"
"feature_258","float","tBodyGyroJerkMag-sma()"
"feature_259","float","tBodyGyroJerkMag-energy()"
"feature_260","float","tBodyGyroJerkMag-iqr()"
"feature_261","float","tBodyGyroJerkMag-entropy()"
"feature_262","float","tBodyGyroJerkMag-arCoeff()1"
"feature_263","float","tBodyGyroJerkMag-arCoeff()2"
"feature_264","float","tBodyGyroJerkMag-arCoeff()3"
"feature_265","float","tBodyGyroJerkMag-arCoeff()4"
"feature_266","float","fBodyAcc-mean()-X"
"feature_267","float","fBodyAcc-mean()-Y"
"feature_268","float","fBodyAcc-mean()-Z"
"feature_269","float","fBodyAcc-std()-X"
"feature_270","float","fBodyAcc-std()-Y"
"feature_271","float","fBodyAcc-std()-Z"
"feature_272","float","fBodyAcc-mad()-X"
"feature_273","float","fBodyAcc-mad()-Y"
"feature_274","float","fBodyAcc-mad()-Z"
"feature_275","float","fBodyAcc-max()-X"
"feature_276","float","fBodyAcc-max()-Y"
"feature_277","float","fBodyAcc-max()-Z"
"feature_278","float","fBodyAcc-min()-X"
"feature_279","float","fBodyAcc-min()-Y"
"feature_280","float","fBodyAcc-min()-Z"
"feature_281","float","fBodyAcc-sma()"
"feature_282","float","fBodyAcc-energy()-X"
"feature_283","float","fBodyAcc-energy()-Y"
"feature_284","float","fBodyAcc-energy()-Z"
"feature_285","float","fBodyAcc-iqr()-X"
"feature_286","float","fBodyAcc-iqr()-Y"
"feature_287","float","fBodyAcc-iqr()-Z"
"feature_288","float","fBodyAcc-entropy()-X"
"feature_289","float","fBodyAcc-entropy()-Y"
"feature_290","float","fBodyAcc-entropy()-Z"
"feature_291","float","fBodyAcc-maxInds-X"
"feature_292","float","fBodyAcc-maxInds-Y"
"feature_293","float","fBodyAcc-maxInds-Z"
"feature_294","float","fBodyAcc-meanFreq()-X"
"feature_295","float","fBodyAcc-meanFreq()-Y"
"feature_296","float","fBodyAcc-meanFreq()-Z"
"feature_297","float","fBodyAcc-skewness()-X"
"feature_298","float","fBodyAcc-kurtosis()-X"
"feature_299","float","fBodyAcc-skewness()-Y"
"feature_300","float","fBodyAcc-kurtosis()-Y"
"feature_301","float","fBodyAcc-skewness()-Z"
"feature_302","float","fBodyAcc-kurtosis()-Z"
"feature_303","float","fBodyAcc-bandsEnergy()-1,8"
"feature_304","float","fBodyAcc-bandsEnergy()-9,16"
"feature_305","float","fBodyAcc-bandsEnergy()-17,24"
"feature_306","float","fBodyAcc-bandsEnergy()-25,32"
"feature_307","float","fBodyAcc-bandsEnergy()-33,40"
"feature_308","float","fBodyAcc-bandsEnergy()-41,48"
"feature_309","float","fBodyAcc-bandsEnergy()-49,56"
"feature_310","float","fBodyAcc-bandsEnergy()-57,64"
"feature_311","float","fBodyAcc-bandsEnergy()-1,16"
"feature_312","float","fBodyAcc-bandsEnergy()-17,32"
"feature_313","float","fBodyAcc-bandsEnergy()-33,48"
"feature_314","float","fBodyAcc-bandsEnergy()-49,64"
"feature_315","float","fBodyAcc-bandsEnergy()-1,24"
"feature_316","float","fBodyAcc-bandsEnergy()-25,48"
"feature_317","float","fBodyAcc-bandsEnergy()-1,8"
"feature_318","float","fBodyAcc-bandsEnergy()-9,16"
"feature_319","float","fBodyAcc-bandsEnergy()-17,24"
"feature_320","float","fBodyAcc-bandsEnergy()-25,32"
"feature_321","float","fBodyAcc-bandsEnergy()-33,40"
"feature_322","float","fBodyAcc-bandsEnergy()-41,48"
"feature_323","float","fBodyAcc-bandsEnergy()-49,56"
"feature_324","float","fBodyAcc-bandsEnergy()-57,64"
"feature_325","float","fBodyAcc-bandsEnergy()-1,16"
"feature_326","float","fBodyAcc-bandsEnergy()-17,32"
"feature_327","float","fBodyAcc-bandsEnergy()-33,48"
"feature_328","float","fBodyAcc-bandsEnergy()-49,64"
"feature_329","float","fBodyAcc-bandsEnergy()-1,24"
"feature_330","float","fBodyAcc-bandsEnergy()-25,48"
"feature_331","float","fBodyAcc-bandsEnergy()-1,8"
"feature_332","float","fBodyAcc-bandsEnergy()-9,16"
"feature_333","float","fBodyAcc-bandsEnergy()-17,24"
"feature_334","float","fBodyAcc-bandsEnergy()-25,32"
"feature_335","float","fBodyAcc-bandsEnergy()-33,40"
"feature_336","float","fBodyAcc-bandsEnergy()-41,48"
"feature_337","float","fBodyAcc-bandsEnergy()-49,56"
"feature_338","float","fBodyAcc-bandsEnergy()-57,64"
"feature_339","float","fBodyAcc-bandsEnergy()-1,16"
"feature_340","float","fBodyAcc-bandsEnergy()-17,32"
"feature_341","float","fBodyAcc-bandsEnergy()-33,48"
"feature_342","float","fBodyAcc-bandsEnergy()-49,64"
"feature_343","float","fBodyAcc-bandsEnergy()-1,24"
"feature_344","float","fBodyAcc-bandsEnergy()-25,48"
"feature_345","float","fBodyAccJerk-mean()-X"
"feature_346","float","fBodyAccJerk-mean()-Y"
"feature_347","float","fBodyAccJerk-mean()-Z"
"feature_348","float","fBodyAccJerk-std()-X"
"feature_349","float","fBodyAccJerk-std()-Y"
"feature_350","float","fBodyAccJerk-std()-Z"
"feature_351","float","fBodyAccJerk-mad()-X"
"feature_352","float","fBodyAccJerk-mad()-Y"
"feature_353","float","fBodyAccJerk-mad()-Z"
"feature_354","float","fBodyAccJerk-max()-X"
"feature_355","float","fBodyAccJerk-max()-Y"
"feature_356","float","fBodyAccJerk-max()-Z"
"feature_357","float","fBodyAccJerk-min()-X"
"feature_358","float","fBodyAccJerk-min()-Y"
"feature_359","float","fBodyAccJerk-min()-Z"
"feature_360","float","fBodyAccJerk-sma()"
"feature_361","float","fBodyAccJerk-energy()-X"
"feature_362","float","fBodyAccJerk-energy()-Y"
"feature_363","float","fBodyAccJerk-energy()-Z"
"feature_364","float","fBodyAccJerk-iqr()-X"
"feature_365","float","fBodyAccJerk-iqr()-Y"
"feature_366","float","fBodyAccJerk-iqr()-Z"
"feature_367","float","fBodyAccJerk-entropy()-X"
"feature_368","float","fBodyAccJerk-entropy()-Y"
"feature_369","float","fBodyAccJerk-entropy()-Z"
"feature_370","float","fBodyAccJerk-maxInds-X"
"feature_371","float","fBodyAccJerk-maxInds-Y"
"feature_372","float","fBodyAccJerk-maxInds-Z"
"feature_373","float","fBodyAccJerk-meanFreq()-X"
"feature_374","float","fBodyAccJerk-meanFreq()-Y"
"feature_375","float","fBodyAccJerk-meanFreq()-Z"
"feature_376","float","fBodyAccJerk-skewness()-X"
"feature_377","float","fBodyAccJerk-kurtosis()-X"
"feature_378","float","fBodyAccJerk-skewness()-Y"
"feature_379","float","fBodyAccJerk-kurtosis()-Y"
"feature_380","float","fBodyAccJerk-skewness()-Z"
"feature_381","float","fBodyAccJerk-kurtosis()-Z"
"feature_382","float","fBodyAccJerk-bandsEnergy()-1,8"
"feature_383","float","fBodyAccJerk-bandsEnergy()-9,16"
"feature_384","float","fBodyAccJerk-bandsEnergy()-17,24"
"feature_385","float","fBodyAccJerk-bandsEnergy()-25,32"
"feature_386","float","fBodyAccJerk-bandsEnergy()-33,40"
"feature_387","float","fBodyAccJerk-bandsEnergy()-41,48"
"feature_388","float","fBodyAccJerk-bandsEnergy()-49,56"
"feature_389","float","fBodyAccJerk-bandsEnergy()-57,64"
"feature_390","float","fBodyAccJerk-bandsEnergy()-1,16"
"feature_391","float","fBodyAccJerk-bandsEnergy()-17,32"
"feature_392","float","fBodyAccJerk-bandsEnergy()-33,48"
"feature_393","float","fBodyAccJerk-bandsEnergy()-49,64"
"feature_394","float","fBodyAccJerk-bandsEnergy()-1,24"
"feature_395","float","fBodyAccJerk-bandsEnergy()-25,48"
"feature_396","float","fBodyAccJerk-bandsEnergy()-1,8"
"feature_397","float","fBodyAccJerk-bandsEnergy()-9,16"
"feature_398","float","fBodyAccJerk-bandsEnergy()-17,24"
"feature_399","float","fBodyAccJerk-bandsEnergy()-25,32"
"feature_400","float","fBodyAccJerk-bandsEnergy()-33,40"
"feature_401","float","fBodyAccJerk-bandsEnergy()-41,48"
"feature_402","float","fBodyAccJerk-bandsEnergy()-49,56"
"feature_403","float","fBodyAccJerk-bandsEnergy()-57,64"
"feature_404","float","fBodyAccJerk-bandsEnergy()-1,16"
"feature_405","float","fBodyAccJerk-bandsEnergy()-17,32"
"feature_406","float","fBodyAccJerk-bandsEnergy()-33,48"
"feature_407","float","fBodyAccJerk-bandsEnergy()-49,64"
"feature_408","float","fBodyAccJerk-bandsEnergy()-1,24"
"feature_409","float","fBodyAccJerk-bandsEnergy()-25,48"
"feature_410","float","fBodyAccJerk-bandsEnergy()-1,8"
"feature_411","float","fBodyAccJerk-bandsEnergy()-9,16"
"feature_412","float","fBodyAccJerk-bandsEnergy()-17,24"
"feature_413","float","fBodyAccJerk-bandsEnergy()-25,32"
"feature_414","float","fBodyAccJerk-bandsEnergy()-33,40"
"feature_415","float","fBodyAccJerk-bandsEnergy()-41,48"
"feature_416","float","fBodyAccJerk-bandsEnergy()-49,56"
"feature_417","float","fBodyAccJerk-bandsEnergy()-57,64"
"feature_418","float","fBodyAccJerk-bandsEnergy()-1,16"
"feature_419","float","fBodyAccJerk-bandsEnergy()-17,32"
"feature_420","float","fBodyAccJerk-bandsEnergy()-33,48"
"feature_421","float","fBodyAccJerk-bandsEnergy()-49,64"
"feature_422","float","fBodyAccJerk-bandsEnergy()-1,24"
"feature_423","float","fBodyAccJerk-bandsEnergy()-25,48"
"feature_424","float","fBodyGyro-mean()-X"
"feature_425","float","fBodyGyro-mean()-Y"
"feature_426","float","fBodyGyro-mean()-Z"
"feature_427","float","fBodyGyro-std()-X"
"feature_428","float","fBodyGyro-std()-Y"
"feature_429","float","fBodyGyro-std()-Z"
"feature_430","float","fBodyGyro-mad()-X"
"feature_431","float","fBodyGyro-mad()-Y"
"feature_432","float","fBodyGyro-mad()-Z"
"feature_433","float","fBodyGyro-max()-X"
"feature_434","float","fBodyGyro-max()-Y"
"feature_435","float","fBodyGyro-max()-Z"
"feature_436","float","fBodyGyro-min()-X"
"feature_437","float","fBodyGyro-min()-Y"
"feature_438","float","fBodyGyro-min()-Z"
"feature_439","float","fBodyGyro-sma()"
"feature_440","float","fBodyGyro-energy()-X"
"feature_441","float","fBodyGyro-energy()-Y"
"feature_442","float","fBodyGyro-energy()-Z"
"feature_443","float","fBodyGyro-iqr()-X"
"feature_444","float","fBodyGyro-iqr()-Y"
"feature_445","float","fBodyGyro-iqr()-Z"
"feature_446","float","fBodyGyro-entropy()-X"
"feature_447","float","fBodyGyro-entropy()-Y"
"feature_448","float","fBodyGyro-entropy()-Z"
"feature_449","float","fBodyGyro-maxInds-X"
"feature_450","float","fBodyGyro-maxInds-Y"
"feature_451","float","fBodyGyro-maxInds-Z"
"feature_452","float","fBodyGyro-meanFreq()-X"
"feature_453","float","fBodyGyro-meanFreq()-Y"
"feature_454","float","fBodyGyro-meanFreq()-Z"
"feature_455","float","fBodyGyro-skewness()-X"
"feature_456","float","fBodyGyro-kurtosis()-X"
"feature_457","float","fBodyGyro-skewness()-Y"
"feature_458","float","fBodyGyro-kurtosis()-Y"
"feature_459","float","fBodyGyro-skewness()-Z"
"feature_460","float","fBodyGyro-kurtosis()-Z"
"feature_461","float","fBodyGyro-bandsEnergy()-1,8"
"feature_462","float","fBodyGyro-bandsEnergy()-9,16"
"feature_463","float","fBodyGyro-bandsEnergy()-17,24"
"feature_464","float","fBodyGyro-bandsEnergy()-25,32"
"feature_465","float","fBodyGyro-bandsEnergy()-33,40"
"feature_466","float","fBodyGyro-bandsEnergy()-41,48"
"feature_467","float","fBodyGyro-bandsEnergy()-49,56"
"feature_468","float","fBodyGyro-bandsEnergy()-57,64"
"feature_469","float","fBodyGyro-bandsEnergy()-1,16"
"feature_470","float","fBodyGyro-bandsEnergy()-17,32"
"feature_471","float","fBodyGyro-bandsEnergy()-33,48"
"feature_472","float","fBodyGyro-bandsEnergy()-49,64"
"feature_473","float","fBodyGyro-bandsEnergy()-1,24"
"feature_474","float","fBodyGyro-bandsEnergy()-25,48"
"feature_475","float","fBodyGyro-bandsEnergy()-1,8"
"feature_476","float","fBodyGyro-bandsEnergy()-9,16"
"feature_477","float","fBodyGyro-bandsEnergy()-17,24"
"feature_478","float","fBodyGyro-bandsEnergy()-25,32"
"feature_479","float","fBodyGyro-bandsEnergy()-33,40"
"feature_480","float","fBodyGyro-bandsEnergy()-41,48"
"feature_481","float","fBodyGyro-bandsEnergy()-49,56"
"feature_482","float","fBodyGyro-bandsEnergy()-57,64"
"feature_483","float","fBodyGyro-bandsEnergy()-1,16"
"feature_484","float","fBodyGyro-bandsEnergy()-17,32"
"feature_485","float","fBodyGyro-bandsEnergy()-33,48"
"feature_486","float","fBodyGyro-bandsEnergy()-49,64"
"feature_487","float","fBodyGyro-bandsEnergy()-1,24"
"feature_488","float","fBodyGyro-bandsEnergy()-25,48"
"feature_489","float","fBodyGyro-bandsEnergy()-1,8"
"feature_490","float","fBodyGyro-bandsEnergy()-9,16"
"feature_491","float","fBodyGyro-bandsEnergy()-17,24"
"feature_492","float","fBodyGyro-bandsEnergy()-25,32"
"feature_493","float","fBodyGyro-bandsEnergy()-33,40"
"feature_494","float","fBodyGyro-bandsEnergy()-41,48"
"feature_495","float","fBodyGyro-bandsEnergy()-49,56"
"feature_496","float","fBodyGyro-bandsEnergy()-57,64"
"feature_497","float","fBodyGyro-bandsEnergy()-1,16"
"feature_498","float","fBodyGyro-bandsEnergy()-17,32"
"feature_499","float","fBodyGyro-bandsEnergy()-33,48"
"feature_500","float","fBodyGyro-bandsEnergy()-49,64"
"feature_501","float","fBodyGyro-bandsEnergy()-1,24"
"feature_502","float","fBodyGyro-bandsEnergy()-25,48"
"feature_503","float","fBodyAccMag-mean()"
"feature_504","float","fBodyAccMag-std()"
"feature_505","float","fBodyAccMag-mad()"
"feature_506","float","fBodyAccMag-max()"
"feature_507","float","fBodyAccMag-min()"
"feature_508","float","fBodyAccMag-sma()"
"feature_509","float","fBodyAccMag-energy()"
"feature_510","float","fBodyAccMag-iqr()"
"feature_511","float","fBodyAccMag-entropy()"
"feature_512","float","fBodyAccMag-maxInds"
"feature_513","float","fBodyAccMag-meanFreq()"
"feature_514","float","fBodyAccMag-skewness()"
"feature_515","float","fBodyAccMag-kurtosis()"
"feature_516","float","fBodyBodyAccJerkMag-mean()"
"feature_517","float","fBodyBodyAccJerkMag-std()"
"feature_518","float","fBodyBodyAccJerkMag-mad()"
"feature_519","float","fBodyBodyAccJerkMag-max()"
"feature_520","float","fBodyBodyAccJerkMag-min()"
"feature_521","float","fBodyBodyAccJerkMag-sma()"
"feature_522","float","fBodyBodyAccJerkMag-energy()"
